name,email,website,phone,address,city,county,state,zip,category,found_date,email_valid,phone_valid,address_valid,verified,verified_date,notes
"1. The Shoaf Law Firm, P.A.",info@vrmco.com,,919-289-4694,"** 3440 Toringdon Way, Suite 203, Charlotte, NC 28277 - **City:** Charlotte - **State:** NC - **ZIP:** 28277 - *Note: Relocated to Ballantyne area effective July 1st* --- **National REO Asset Manageme",Charlotte,,North Carolina,28277,REO Asset Management,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. The Shoaf Law Firm, P.A.",info@24asset.com,,919-289-4694,"** 3440 Toringdon Way, Suite 203, Charlotte, NC 28277 - **City:** Charlotte - **State:** NC - **ZIP:** 28277 - *Note: Relocated to Ballantyne area effective July 1st* --- **National REO Asset Manageme",Charlotte,,North Carolina,28277,REO Asset Management,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. The Shoaf Law Firm, P.A.",customerservice@limacharlieinc.com,,919-289-4694,"** 3440 Toringdon Way, Suite 203, Charlotte, NC 28277 - **City:** Charlotte - **State:** NC - **ZIP:** 28277 - *Note: Relocated to Ballantyne area effective July 1st* --- **National REO Asset Manageme",Charlotte,,North Carolina,28277,REO Asset Management,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Accent Services (Accent Contracting),info@jgmpropertygroup.com,,(701) 293-6000,"** 3151 Main Ave, Fargo, ND 58103 - **Website:** accentcontracting.com - **Email:** — - **Services:** Property preservation and maintenance operations for homes and buildings --- **2. Whitcomb General",Fargo,,North Dakota,58103,Default Property Preservation,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Accent Services (Accent Contracting),support@blackdomeservices.com,,(701) 293-6000,"** 3151 Main Ave, Fargo, ND 58103 - **Website:** accentcontracting.com - **Email:** — - **Services:** Property preservation and maintenance operations for homes and buildings --- **2. Whitcomb General",Fargo,,North Dakota,58103,Default Property Preservation,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Cash Offer Property Services,info@sellmyhousefast.com,,(614) 300-5151,"** 750 Cross Pointe Rd Unit R, Columbus, Ohio 43230 - **Website:** sellhousecolumbus.com - **Email:** Not publicly listed ### 2. Oasis Home Buyers - **Phone:** 614-802-6668 - **Address:** 4420 Tuller ",Dublin,,Ohio,43230,Cash Offer Property Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,info@nhsokla.org,,(539) 367-7692,"** 2100 N Eastern Ave Suite 8X, Moore, OK 73160 - **Services:** Short sale and pre-foreclosure listing specialist, real estate agent ### 3. DispoBridge - **Phone:** (308) 370-2521 - **Services:** Pre-",Oklahoma City,,Oklahoma,73160,Pre-Foreclosure Property Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Auction Property Services,john@rmnw-auctions.com,,(800) 845-3524,"1155 SW Morrison Street, Suite 200, Portland, OR 97205 **2. Commercial Industrial Auctioneers (CIA)** - Phone: (503) 760-0499 - Email: kevin@ciauctions.com; kim@ciauctions.com - Address: 1209 SE 190th",Portland,,Oregon,97205,Auction Property Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Auction Property Services,kevin@ciauctions.com,,(800) 845-3524,"1155 SW Morrison Street, Suite 200, Portland, OR 97205 **2. Commercial Industrial Auctioneers (CIA)** - Phone: (503) 760-0499 - Email: kevin@ciauctions.com; kim@ciauctions.com - Address: 1209 SE 190th",Portland,,Oregon,97205,Auction Property Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Auction Property Services,kim@ciauctions.com,,(800) 845-3524,"1155 SW Morrison Street, Suite 200, Portland, OR 97205 **2. Commercial Industrial Auctioneers (CIA)** - Phone: (503) 760-0499 - Email: kevin@ciauctions.com; kim@ciauctions.com - Address: 1209 SE 190th",Portland,,Oregon,97205,Auction Property Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
