name,email,phone,address,city,county,state,zip,category,found_date,email_valid,phone_valid,address_valid,verified,verified_date,notes
Phone:,hr@chasroberts.com,(602) 470-1920,"** 1900 E. Riverview Drive, Phoenix, AZ 85034 - **Email:** Not publicly listed - **Website:** midstatemechanical.com ### 2. Island Breeze Air Conditioning & Heating - **Phone:** (623) 692-6013 - **Add",Phoenix,,Arizona,85034,HVAC Contractor,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,info@greatstate48.com,(602) 470-1920,"** 1900 E. Riverview Drive, Phoenix, AZ 85034 - **Email:** Not publicly listed - **Website:** midstatemechanical.com ### 2. Island Breeze Air Conditioning & Heating - **Phone:** (623) 692-6013 - **Add",Phoenix,,Arizona,85034,HVAC Contractor,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,adam@airfridgeaz.com,(602) 470-1920,"** 1900 E. Riverview Drive, Phoenix, AZ 85034 - **Email:** Not publicly listed - **Website:** midstatemechanical.com ### 2. Island Breeze Air Conditioning & Heating - **Phone:** (623) 692-6013 - **Add",Phoenix,,Arizona,85034,HVAC Contractor,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,info@ljrefrigeration.com,(602) 470-1920,"** 1900 E. Riverview Drive, Phoenix, AZ 85034 - **Email:** Not publicly listed - **Website:** midstatemechanical.com ### 2. Island Breeze Air Conditioning & Heating - **Phone:** (623) 692-6013 - **Add",Phoenix,,Arizona,85034,HVAC Contractor,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,freshairaz@gmail.com,(602) 470-1920,"** 1900 E. Riverview Drive, Phoenix, AZ 85034 - **Email:** Not publicly listed - **Website:** midstatemechanical.com ### 2. Island Breeze Air Conditioning & Heating - **Phone:** (623) 692-6013 - **Add",Phoenix,,Arizona,85034,HVAC Contractor,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Mr. Appliance of Greater Little Rock,greaterlittlerock@mrappliancemail.com,(501) 725-6344,"** 11610 Pleasant Ridge Rd Ste 103 Unit 227, Little Rock, AR 72223 - **Website:** little-rock-appliance.net / mrappliance.com --- **2. Central One Service** - **Phone:** (501) 940-9095 - **Address:** ",Little Rock,,Arkansas,11610,Appliance Technician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Best Choice Water Heaters & Plumbing Inc,bestchoicewh@yahoo.com,(866) 405-2378,"4590 Ish Dr. Suite 160, Simi Valley, CA 93063",Simi Valley,,California,93063,Plumber,2026-05-20,YES,YES,YES,YES,2026-05-20,email_test=sent
1. Piper Electric,info@piperelectric.com,(303) 422-9219,"5550 W 60th Ave, Arvada, CO 80003 **2. R&A Enterprises (RA Electric)** - Denver Phone: (303) 653-7232 - Glenwood Phone: (970) 945-6500 - Montrose Phone: (970) 249-1719 - Address: Serves Denver metro a",Arvada,,Colorado,80003,Electrician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Piper Electric,mtybeeinfo@gmail.com,(303) 422-9219,"5550 W 60th Ave, Arvada, CO 80003 **2. R&A Enterprises (RA Electric)** - Denver Phone: (303) 653-7232 - Glenwood Phone: (970) 945-6500 - Montrose Phone: (970) 249-1719 - Address: Serves Denver metro a",Arvada,,Colorado,80003,Electrician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Piper Electric,myallelectric@gmail.com,(303) 422-9219,"5550 W 60th Ave, Arvada, CO 80003 **2. R&A Enterprises (RA Electric)** - Denver Phone: (303) 653-7232 - Glenwood Phone: (970) 945-6500 - Montrose Phone: (970) 249-1719 - Address: Serves Denver metro a",Arvada,,Colorado,80003,Electrician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Izzy's Lawn Services Inc.,izzyslawnservicesinc@gmail.com,(302) 293-9221,"** Wilmington, DE 19805 - **City:** Wilmington - **State:** Delaware - **ZIP:** 19805 --- **2. First Class Lawn Care LLC** - **Phone:** (302) 753-0761 - **Address:** 400 B & O Lane, Wilmington, DE 198",Wilmington,,Delaware,19805,Landscaper,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Izzy's Lawn Services Inc.,info@greenacresde.com,(302) 293-9221,"** Wilmington, DE 19805 - **City:** Wilmington - **State:** Delaware - **ZIP:** 19805 --- **2. First Class Lawn Care LLC** - **Phone:** (302) 753-0761 - **Address:** 400 B & O Lane, Wilmington, DE 198",Wilmington,,Delaware,19805,Landscaper,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Izzy's Lawn Services Inc.,jaime@paradise-landscaping.net,(302) 293-9221,"** Wilmington, DE 19805 - **City:** Wilmington - **State:** Delaware - **ZIP:** 19805 --- **2. First Class Lawn Care LLC** - **Phone:** (302) 753-0761 - **Address:** 400 B & O Lane, Wilmington, DE 198",Wilmington,,Delaware,19805,Landscaper,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Izzy's Lawn Services Inc.,payments@kenslawninc.com,(302) 293-9221,"** Wilmington, DE 19805 - **City:** Wilmington - **State:** Delaware - **ZIP:** 19805 --- **2. First Class Lawn Care LLC** - **Phone:** (302) 753-0761 - **Address:** 400 B & O Lane, Wilmington, DE 198",Wilmington,,Delaware,19805,Landscaper,2026-05-20,NO,YES,NO,NO,2026-05-20,email_test=rejected
Phone:,bessardroofinginc@gmail.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,appointment@properoofing.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,info@aebrothersroofing.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
